state,declarationDate,incidentType,designatedArea,FID
AR,2009-04-27T18:26:00.000Z,Tornado,Howard,191
AR,2009-04-27T18:26:00.000Z,Tornado,Ashley,50
AR,2009-04-27T18:26:00.000Z,Tornado,Miller,287
AR,2009-04-27T18:26:00.000Z,Tornado,Polk,337
AR,2009-04-27T18:26:00.000Z,Tornado,Sevier,390
MN,2010-07-02T10:41:00.000Z,Tornado,Blue Earth,1886
MN,2010-07-02T10:41:00.000Z,Tornado,Brown,1892
MN,2010-07-02T10:41:00.000Z,Tornado,Nicollet,1948
MN,2010-07-02T10:41:00.000Z,Tornado,Polk,1959
MN,2010-07-02T10:41:00.000Z,Tornado,Sibley,1982
MN,2010-07-02T10:41:00.000Z,Tornado,Wadena,1992
MN,2010-07-02T10:41:00.000Z,Tornado,Kittson,1921
MN,2010-07-02T10:41:00.000Z,Tornado,Houston,1914
MN,2010-07-02T10:41:00.000Z,Tornado,Faribault,1908
MN,2010-07-02T10:41:00.000Z,Tornado,Steele,1985
MN,2010-07-02T10:41:00.000Z,Tornado,Freeborn,1910
MN,2010-07-02T10:41:00.000Z,Tornado,Olmsted,1953
MN,2010-07-02T10:41:00.000Z,Tornado,Otter Tail,1954
NY,2010-10-14T16:50:00.000Z,Tornado,Kings,1788
NY,2010-10-14T16:50:00.000Z,Tornado,Queens,1872
NY,2010-10-14T16:50:00.000Z,Tornado,Richmond,1876
MA,2011-06-15T12:30:00.000Z,Tornado,Worcester,1599
MA,2011-06-15T12:30:00.000Z,Tornado,Hampden,1526
OK,2013-05-20T22:30:00.000Z,Tornado,Haskell,2195
OK,2013-05-20T22:30:00.000Z,Tornado,Craig,2148
OK,2013-05-20T22:30:00.000Z,Tornado,Nowata,2290
OK,2013-05-20T22:30:00.000Z,Tornado,Ottawa,2325
OK,2013-05-20T22:30:00.000Z,Tornado,Latimer,2226
OK,2013-05-20T22:30:00.000Z,Tornado,McIntosh,2258
OK,2013-05-20T22:30:00.000Z,Tornado,Hughes,2197
OK,2013-05-20T22:30:00.000Z,Tornado,Pittsburg,2344
OK,2013-05-20T22:30:00.000Z,Tornado,Atoka,2102
OK,2013-05-20T22:30:00.000Z,Tornado,Coal,2144
OK,2013-05-20T22:30:00.000Z,Tornado,Seminole,2384
OK,2013-05-20T22:30:00.000Z,Tornado,Le Flore,2230
OK,2013-05-20T22:30:00.000Z,Tornado,Pushmataha,2362
OK,2013-05-20T22:30:00.000Z,Tornado,Canadian,2123
OK,2013-05-20T22:30:00.000Z,Tornado,Cleveland,2140
OK,2013-05-20T22:30:00.000Z,Tornado,Lincoln,2234
OK,2013-05-20T22:30:00.000Z,Tornado,McClain,2245
OK,2013-05-20T22:30:00.000Z,Tornado,Okfuskee,2297
OK,2013-05-20T22:30:00.000Z,Tornado,Oklahoma,2303
OK,2013-05-20T22:30:00.000Z,Tornado,Okmulgee,2311
OK,2013-05-20T22:30:00.000Z,Tornado,Pottawatomie,2356
IL,2013-11-26T18:08:00.000Z,Tornado,Champaign,12
IL,2013-11-26T18:08:00.000Z,Tornado,Douglas,55
IL,2013-11-26T18:08:00.000Z,Tornado,Fayette,79
IL,2013-11-26T18:08:00.000Z,Tornado,Grundy,99
IL,2013-11-26T18:08:00.000Z,Tornado,Jasper,133
IL,2013-11-26T18:08:00.000Z,Tornado,LaSalle,175
IL,2013-11-26T18:08:00.000Z,Tornado,Massac,208
IL,2013-11-26T18:08:00.000Z,Tornado,Pope,245
IL,2013-11-26T18:08:00.000Z,Tornado,Tazewell,291
IL,2013-11-26T18:08:00.000Z,Tornado,Vermilion,296
IL,2013-11-26T18:08:00.000Z,Tornado,Wabash,299
IL,2013-11-26T18:08:00.000Z,Tornado,Washington,305
IL,2013-11-26T18:08:00.000Z,Tornado,Wayne,310
IL,2013-11-26T18:08:00.000Z,Tornado,Will,320
IL,2013-11-26T18:08:00.000Z,Tornado,Woodford,328
NE,2014-06-17T10:00:00.000Z,Tornado,Clay,1336
NE,2014-06-17T10:00:00.000Z,Tornado,Fillmore,1363
NE,2014-06-17T10:00:00.000Z,Tornado,Saline,1367
NE,2014-06-17T10:00:00.000Z,Tornado,Seward,1375
NE,2014-06-17T10:00:00.000Z,Tornado,York,1392
NE,2014-06-17T10:00:00.000Z,Tornado,Saunders,1370
