BaseYear,state,incidentType,designatedArea,Freq,FID
2015,WA,Biological,Adams,2,2840
2015,WA,Biological,Asotin,2,2845
2015,WA,Biological,Benton,2,2847
2015,WA,Biological,Chelan,2,2852
2015,WA,Biological,Clallam,2,2861
2015,WA,Biological,Clark,2,2865
2015,WA,Biological,Columbia,2,2869
2015,WA,Biological,Cowlitz,2,2871
2015,WA,Biological,Douglas,2,2877
2015,WA,Biological,Ferry,2,2880
2015,WA,Biological,Franklin,2,2884
2015,WA,Biological,Garfield,2,2886
2015,WA,Biological,Grant,2,2889
2015,WA,Biological,Grays Harbor,2,2894
2015,WA,Biological,Island,2,2898
2015,WA,Biological,Jefferson,2,2905
2015,WA,Biological,King,2,2913
2015,WA,Biological,Kitsap,2,2927
2015,WA,Biological,Kittitas,2,2932
2015,WA,Biological,Klickitat,2,2935
2015,WA,Biological,Lewis,2,2940
2015,WA,Biological,Lincoln,2,2942
2015,WA,Biological,Mason,2,2946
2015,WA,Biological,Okanogan,2,2947
2015,WA,Biological,Pend Oreille,2,2951
2015,WA,Biological,Pierce,2,2956
2015,WA,Biological,Pacific,2,2949
2015,WA,Biological,Skagit,2,2958
2015,WA,Biological,Skamania,2,2959
2015,WA,Biological,Snohomish,2,2960
2015,WA,Biological,Spokane,2,2961
2015,WA,Biological,San Juan,2,2957
2015,WA,Biological,Stevens,2,2963
2015,WA,Biological,Thurston,2,2967
2015,WA,Biological,Wahkiakum,2,2969
2015,WA,Biological,Walla Walla,2,2970
2015,WA,Biological,Whatcom,2,2972
2015,WA,Biological,Whitman,2,2973
2015,CA,Biological,Alameda,2,457
2015,CA,Biological,Alpine,2,461
2015,CA,Biological,Amador,2,472
2015,CA,Biological,Butte,2,486
2015,CA,Biological,Calaveras,2,489
2015,CA,Biological,Colusa,2,497
2015,WA,Biological,Yakima,2,2974
2015,CA,Biological,Contra Costa,2,503
2015,CA,Biological,Del Norte,2,511
2015,CA,Biological,El Dorado,2,522
2015,CA,Biological,Fresno,2,527
2015,CA,Biological,Imperial,2,557
2015,CA,Biological,Kern,2,84
2015,CA,Biological,Inyo,2,562
2015,CA,Biological,Kings,2,94
2015,CA,Biological,Humboldt,2,551
2015,CA,Biological,Glenn,2,537
2015,CA,Biological,Lake,2,100
2015,CA,Biological,Mariposa,2,178
2015,CA,Biological,Marin,2,168
2015,CA,Biological,Madera,2,153
2015,CA,Biological,Mendocino,2,190
2015,CA,Biological,Los Angeles,2,139
2015,CA,Biological,Merced,2,204
2015,CA,Biological,Modoc,2,207
2015,CA,Biological,Lassen,2,104
2015,CA,Biological,Mono,2,214
2015,CA,Biological,Monterey,2,228
2015,CA,Biological,Napa,2,236
2015,CA,Biological,Nevada,2,243
2015,CA,Biological,Orange,2,257
