BaseYear,state,incidentType,designatedArea,Freq,FID
2015,NY,Biological,Oneida,3,282
2015,CO,Biological,Southern Ute,2,321
2015,CO,Biological,Ute Mountain,2,167
2015,CT,Biological,Mashantucket Pequot,2,82
2015,AZ,Biological,Colorado River,2,206
2015,AZ,Biological,Fort Apache,2,223
2015,AZ,Biological,Fort McDowell Yavapai Nation,2,228
2015,AZ,Biological,Fort Mojave,2,45
2015,AZ,Biological,Fort Yuma,2,231
2015,AZ,Biological,Cocopah,2,203
2015,AZ,Biological,Havasupai,2,238
2015,AZ,Biological,Hopi,2,57
2015,AZ,Biological,Hualapai,2,59
2015,AZ,Biological,Kaibab,2,250
2015,AZ,Biological,Gila River,2,233
2015,AZ,Biological,Maricopa (Ak Chin),2,81
2015,AZ,Biological,Navajo Nation,3,93
2015,AZ,Biological,Salt River,2,308
2015,AZ,Biological,San Carlos,2,309
2015,AZ,Biological,Tohono O'odham Nation,2,152
2015,AZ,Biological,Tonto Apache,2,153
2015,AZ,Biological,Pascua Pueblo Yaqui,2,101
2015,AZ,Biological,Yavapai-Apache Nation,2,177
2015,AZ,Biological,Yavapai-Prescott,2,342
2015,AZ,Biological,Zuni,2,180
2015,NV,Biological,Battle Mountain,2,13
2015,NV,Biological,Campbell,2,195
2015,NV,Biological,Carson,2,198
2015,NV,Biological,Dresslerville,2,213
2015,NV,Biological,Duck Valley,2,215
2015,NV,Biological,Duckwater,2,216
2015,NV,Biological,Ely,2,219
2015,NV,Biological,Fallon Paiute-Shoshone,4,38
2015,NV,Biological,Fort McDermitt,2,226
2015,NV,Biological,Fort Mojave,2,47
2015,NV,Biological,Goshute,2,234
2015,NV,Biological,Elko,2,218
2015,NV,Biological,Las Vegas,2,257
2015,NV,Biological,Lovelock,2,263
2015,NV,Biological,Moapa River,2,272
2015,NV,Biological,Pyramid Lake Paiute,2,298
2015,NV,Biological,Reno-Sparks,2,114
2015,NV,Biological,South Fork,2,137
2015,NV,Biological,Walker River,2,336
2015,NV,Biological,Wells,2,337
2015,NV,Biological,Winnemucca,2,338
