state,declarationDate,incidentType,designatedArea,FID
NY,2020-03-13T16:00:00.000Z,Biological,Oneida,282
CO,2020-03-13T16:00:00.000Z,Biological,Southern Ute,321
CO,2020-03-13T16:00:00.000Z,Biological,Ute Mountain,167
CT,2020-03-13T16:00:00.000Z,Biological,Mashantucket Pequot,82
AZ,2020-03-13T16:00:00.000Z,Biological,Colorado River,206
AZ,2020-03-13T16:00:00.000Z,Biological,Fort Apache,223
AZ,2020-03-13T16:00:00.000Z,Biological,Fort McDowell Yavapai Nation,228
AZ,2020-03-13T16:00:00.000Z,Biological,Fort Mojave,45
AZ,2020-03-13T16:00:00.000Z,Biological,Fort Yuma,231
AZ,2020-03-13T16:00:00.000Z,Biological,Cocopah,203
AZ,2020-03-13T16:00:00.000Z,Biological,Havasupai,238
AZ,2020-03-13T16:00:00.000Z,Biological,Hopi,57
AZ,2020-03-13T16:00:00.000Z,Biological,Hualapai,59
AZ,2020-03-13T16:00:00.000Z,Biological,Kaibab,250
AZ,2020-03-13T16:00:00.000Z,Biological,Gila River,233
AZ,2020-03-13T16:00:00.000Z,Biological,Maricopa (Ak Chin),81
AZ,2020-03-13T16:00:00.000Z,Biological,Navajo Nation,93
AZ,2020-03-13T16:00:00.000Z,Biological,Salt River,308
AZ,2020-03-13T16:00:00.000Z,Biological,San Carlos,309
AZ,2020-03-13T16:00:00.000Z,Biological,Tohono O'odham Nation,152
AZ,2020-03-13T16:00:00.000Z,Biological,Tonto Apache,153
AZ,2020-03-13T16:00:00.000Z,Biological,Pascua Pueblo Yaqui,101
AZ,2020-03-13T16:00:00.000Z,Biological,Yavapai-Apache Nation,177
AZ,2020-03-13T16:00:00.000Z,Biological,Yavapai-Prescott,342
AZ,2020-03-13T16:00:00.000Z,Biological,Zuni,180
NV,2020-03-13T16:00:00.000Z,Biological,Battle Mountain,13
NV,2020-03-13T16:00:00.000Z,Biological,Campbell,195
NV,2020-03-13T16:00:00.000Z,Biological,Carson,198
NV,2020-03-13T16:00:00.000Z,Biological,Dresslerville,213
NV,2020-03-13T16:00:00.000Z,Biological,Duck Valley,215
NV,2020-03-13T16:00:00.000Z,Biological,Duckwater,216
NV,2020-03-13T16:00:00.000Z,Biological,Ely,219
NV,2020-03-13T16:00:00.000Z,Biological,Fallon Paiute-Shoshone,38
NV,2020-03-13T16:00:00.000Z,Biological,Fort McDermitt,226
NV,2020-03-13T16:00:00.000Z,Biological,Fort Mojave,47
NV,2020-03-13T16:00:00.000Z,Biological,Goshute,234
NV,2020-03-13T16:00:00.000Z,Biological,Elko,218
NV,2020-03-13T16:00:00.000Z,Biological,Fallon Paiute-Shoshone,38
NV,2020-03-13T16:00:00.000Z,Biological,Las Vegas,257
NV,2020-03-13T16:00:00.000Z,Biological,Lovelock,263
NV,2020-03-13T16:00:00.000Z,Biological,Moapa River,272
NV,2020-03-13T16:00:00.000Z,Biological,Pyramid Lake Paiute,298
NV,2020-03-13T16:00:00.000Z,Biological,Reno-Sparks,114
NV,2020-03-13T16:00:00.000Z,Biological,South Fork,137
NV,2020-03-13T16:00:00.000Z,Biological,Walker River,336
NV,2020-03-13T16:00:00.000Z,Biological,Wells,337
NV,2020-03-13T16:00:00.000Z,Biological,Winnemucca,338
NV,2020-03-13T16:00:00.000Z,Biological,Yerington,343
NV,2020-03-13T16:00:00.000Z,Biological,Stewart,326
NV,2020-03-13T16:00:00.000Z,Biological,Summit Lake,144
NV,2020-03-13T16:00:00.000Z,Biological,Yomba,344
ME,2020-03-13T16:00:00.000Z,Biological,Aroostook Band of Micmac,346
VA,2020-03-13T16:00:00.000Z,Biological,Pamunkey,364
VA,2020-03-13T16:00:00.000Z,Biological,Mattaponi,362
MN,2020-03-13T15:00:00.000Z,Biological,Fond du Lac,39
MN,2020-03-13T15:00:00.000Z,Biological,Grand Portage,49
MN,2020-03-13T15:00:00.000Z,Biological,Ho-Chunk Nation,54
MN,2020-03-13T15:00:00.000Z,Biological,Leech Lake,75
MN,2020-03-13T15:00:00.000Z,Biological,Bois Forte,21
MN,2020-03-13T15:00:00.000Z,Biological,Mille Lacs,86
MN,2020-03-13T15:00:00.000Z,Biological,Prairie Island,110
MN,2020-03-13T15:00:00.000Z,Biological,Red Lake,302
MN,2020-03-13T15:00:00.000Z,Biological,Shakopee Mdewakanton Sioux,128
MN,2020-03-13T15:00:00.000Z,Biological,Upper Sioux,165
MN,2020-03-13T15:00:00.000Z,Biological,Lower Sioux,264
MN,2020-03-13T15:00:00.000Z,Biological,White Earth,172
WI,2020-03-13T15:00:00.000Z,Biological,Bad River,186
WI,2020-03-13T15:00:00.000Z,Biological,Forest County Potawatomi,41
WI,2020-03-13T15:00:00.000Z,Biological,Ho-Chunk Nation,55
WI,2020-03-13T15:00:00.000Z,Biological,Lac Courte Oreilles,71
WI,2020-03-13T15:00:00.000Z,Biological,Lac du Flambeau,255
WI,2020-03-13T15:00:00.000Z,Biological,Menominee,84
WI,2020-03-13T15:00:00.000Z,Biological,Oneida (WI),100
WI,2020-03-13T15:00:00.000Z,Biological,Red Cliff,113
WI,2020-03-13T15:00:00.000Z,Biological,St. Croix,140
WI,2020-03-13T15:00:00.000Z,Biological,Sokaogon Chippewa,136
WI,2020-03-13T15:00:00.000Z,Biological,Stockbridge Munsee,143
MI,2020-03-13T15:00:00.000Z,Biological,Bay Mills,14
MI,2020-03-13T15:00:00.000Z,Biological,Grand Traverse,51
MI,2020-03-13T15:00:00.000Z,Biological,Hannahville,53
MI,2020-03-13T15:00:00.000Z,Biological,Huron Potawatomi,60
MI,2020-03-13T15:00:00.000Z,Biological,Isabella,63
MI,2020-03-13T15:00:00.000Z,Biological,Little Traverse Bay,77
MI,2020-03-13T15:00:00.000Z,Biological,Ontonagon,284
MI,2020-03-13T15:00:00.000Z,Biological,Pokagon,108
MI,2020-03-13T15:00:00.000Z,Biological,Sault Ste. Marie,127
MI,2020-03-13T15:00:00.000Z,Biological,Lac Vieux Desert,256
MI,2020-03-13T15:00:00.000Z,Biological,L'Anse,70
TX,2020-03-13T16:00:00.000Z,Biological,Alabama-Coushatta,10
TX,2020-03-13T16:00:00.000Z,Biological,Kickapoo (TX),68
TX,2020-03-13T16:00:00.000Z,Biological,Ysleta del Sur,178
