BaseYear,state,incidentType,designatedArea,Freq,FID
2015,LA,Coastal Storm,Acadia,2,1046
2015,LA,Coastal Storm,Ascension,2,1055
2015,LA,Coastal Storm,Allen,2,1051
2015,LA,Coastal Storm,Assumption,2,1060
2015,LA,Coastal Storm,Avoyelles,2,1062
2015,LA,Coastal Storm,Beauregard,2,1066
2015,LA,Coastal Storm,Calcasieu,2,1081
2015,LA,Coastal Storm,Cameron,2,1089
2015,LA,Coastal Storm,Catahoula,2,1093
2015,LA,Coastal Storm,Concordia,2,1098
2015,LA,Coastal Storm,East Feliciana,2,1115
2015,LA,Coastal Storm,Evangeline,2,1118
2015,LA,Coastal Storm,Iberia,2,1133
2015,LA,Coastal Storm,East Baton Rouge,2,1108
2015,LA,Coastal Storm,Iberville,2,1134
2015,LA,Coastal Storm,Jefferson,2,1147
2015,LA,Coastal Storm,Jefferson Davis,2,1155
2015,LA,Coastal Storm,Lafayette,2,1161
2015,LA,Coastal Storm,Livingston,2,1295
2015,LA,Coastal Storm,Orleans,2,1304
2015,LA,Coastal Storm,Plaquemines,2,1427
2015,LA,Coastal Storm,Ouachita,2,1306
2015,LA,Coastal Storm,Pointe Coupee,2,1431
2015,LA,Coastal Storm,Lafourche,2,1280
2015,LA,Coastal Storm,Rapides,2,1434
2015,LA,Coastal Storm,St. Bernard,2,1463
2015,LA,Coastal Storm,St. Charles,2,1466
2015,LA,Coastal Storm,St. Helena,2,1467
2015,LA,Coastal Storm,St. James,2,1468
2015,LA,Coastal Storm,St. John the Baptist,2,1469
2015,LA,Coastal Storm,St. Landry,2,1471
2015,LA,Coastal Storm,St. Martin,2,1473
2015,LA,Coastal Storm,St. Mary,2,1474
2015,LA,Coastal Storm,St. Tammany,2,1475
2015,LA,Coastal Storm,Tangipahoa,2,1476
2015,LA,Coastal Storm,Terrebonne,2,1501
2015,LA,Coastal Storm,Washington,2,1516
2015,LA,Coastal Storm,West Baton Rouge,2,1520
2015,LA,Coastal Storm,West Feliciana,2,1524
2015,LA,Coastal Storm,Vermilion,2,1510
2015,LA,Coastal Storm,Vernon,2,1513
2015,AK,Coastal Storm,North Slope,1,614
2015,ME,Coastal Storm,York,1,1901
2015,AK,Coastal Storm,Kenai Peninsula,1,494
2015,NH,Coastal Storm,Rockingham,1,1448
2015,LA,Coastal Storm,Bienville,1,1069
2015,LA,Coastal Storm,Bossier,1,1076
2015,LA,Coastal Storm,Caddo,1,1079
2015,LA,Coastal Storm,Caldwell,1,1084
2015,LA,Coastal Storm,Claiborne,1,1095
2015,LA,Coastal Storm,De Soto,1,1103
2015,LA,Coastal Storm,East Carroll,1,1111
2015,LA,Coastal Storm,Franklin,1,1123
2015,LA,Coastal Storm,Grant,1,1127
2015,LA,Coastal Storm,Jackson,1,1138
2015,LA,Coastal Storm,La Salle,1,1289
2015,LA,Coastal Storm,Lincoln,1,1291
2015,LA,Coastal Storm,Madison,1,1297
2015,LA,Coastal Storm,Morehouse,1,1299
2015,LA,Coastal Storm,Natchitoches,1,1301
2015,LA,Coastal Storm,Red River,1,1436
2015,LA,Coastal Storm,Richland,1,1439
2015,LA,Coastal Storm,Sabine,1,1441
2015,LA,Coastal Storm,Tensas,1,1479
2015,LA,Coastal Storm,Union,1,1507
2015,LA,Coastal Storm,Webster,1,1518
2015,LA,Coastal Storm,West Carroll,1,1522
2015,LA,Coastal Storm,Winn,1,1529
