state,declarationDate,incidentType,designatedArea,FID
WA,2015-08-21T11:44:00.000Z,Fire,Asotin,2845
WA,2015-08-21T11:44:00.000Z,Fire,Chelan,2852
WA,2015-08-21T11:44:00.000Z,Fire,Ferry,2880
WA,2015-08-21T11:44:00.000Z,Fire,Klickitat,2935
WA,2015-08-21T11:44:00.000Z,Fire,Okanogan,2947
WA,2015-08-21T11:44:00.000Z,Fire,Pend Oreille,2951
WA,2015-08-21T11:44:00.000Z,Fire,Douglas,2877
WA,2015-08-21T11:44:00.000Z,Fire,Skamania,2959
WA,2015-08-21T11:44:00.000Z,Fire,Spokane,2961
WA,2015-08-21T11:44:00.000Z,Fire,Stevens,2963
WA,2015-08-21T11:44:00.000Z,Fire,Yakima,2974
CA,2017-12-08T10:00:00.000Z,Fire,Los Angeles,139
CA,2017-12-08T10:00:00.000Z,Fire,San Diego,315
CA,2017-12-08T10:00:00.000Z,Fire,Santa Barbara,391
CA,2017-12-08T10:00:00.000Z,Fire,Ventura,521
CA,2017-12-08T10:00:00.000Z,Fire,Riverside,281
CA,2018-07-28T09:40:00.000Z,Fire,Shasta,431
CA,2018-11-09T16:50:00.000Z,Fire,Butte,486
CA,2018-11-09T16:50:00.000Z,Fire,Los Angeles,139
CA,2018-11-09T16:50:00.000Z,Fire,Ventura,521
CA,2015-09-22T17:21:00.000Z,Fire,Calaveras,489
CA,2015-09-22T17:21:00.000Z,Fire,Lake,100
WA,2015-10-20T19:05:00.000Z,Fire,Chelan,2852
WA,2015-10-20T19:05:00.000Z,Fire,Ferry,2880
WA,2015-10-20T19:05:00.000Z,Fire,Pend Oreille,2951
WA,2015-10-20T19:05:00.000Z,Fire,Okanogan,2947
WA,2015-10-20T19:05:00.000Z,Fire,Stevens,2963
WA,2015-10-20T19:05:00.000Z,Fire,Whatcom,2972
WA,2015-10-20T19:05:00.000Z,Fire,Yakima,2974
WA,2015-10-20T19:05:00.000Z,Fire,Lincoln,2942
TN,2016-12-15T18:00:00.000Z,Fire,Sevier,2030
CA,2017-10-10T12:40:00.000Z,Fire,Solano,453
CA,2017-10-10T12:40:00.000Z,Fire,Butte,486
CA,2017-10-10T12:40:00.000Z,Fire,Lake,100
CA,2017-10-10T12:40:00.000Z,Fire,Mendocino,190
CA,2017-10-10T12:40:00.000Z,Fire,Napa,236
CA,2017-10-10T12:40:00.000Z,Fire,Nevada,243
CA,2017-10-10T12:40:00.000Z,Fire,Orange,257
CA,2017-10-10T12:40:00.000Z,Fire,Yuba,541
CA,2017-10-10T12:40:00.000Z,Fire,Sonoma,463
CA,2018-01-02T11:00:00.000Z,Fire,San Diego,315
CA,2018-01-02T11:00:00.000Z,Fire,Santa Barbara,391
CA,2018-01-02T11:00:00.000Z,Fire,Los Angeles,139
CA,2018-01-02T11:00:00.000Z,Fire,Ventura,521
OK,2018-06-25T09:21:00.000Z,Fire,Dewey,2158
OK,2018-06-25T09:21:00.000Z,Fire,Harmon,2191
OK,2018-06-25T09:21:00.000Z,Fire,Roger Mills,2369
OK,2018-06-25T09:21:00.000Z,Fire,Woodward,2035
OK,2018-06-25T09:21:00.000Z,Fire,Custer,2153
CA,2018-08-04T21:46:00.000Z,Fire,Lake,100
CA,2018-08-04T21:46:00.000Z,Fire,Shasta,431
CA,2018-11-12T20:28:00.000Z,Fire,Butte,486
CA,2018-11-12T20:28:00.000Z,Fire,Los Angeles,139
CA,2018-11-12T20:28:00.000Z,Fire,Ventura,521
AZ,2015-06-17T23:52:00.000Z,Fire,Pinal,26
ID,2015-07-06T03:44:00.000Z,Fire,Kootenai,552
AK,2015-06-15T22:37:00.000Z,Fire,Matanuska-Susitna,556
WA,2015-06-29T01:45:00.000Z,Fire,Chelan,2852
ID,2015-07-06T03:44:00.000Z,Fire,Bonner,387
AK,2015-06-16T20:54:00.000Z,Fire,Kenai Peninsula,494
CA,2015-07-17T23:56:00.000Z,Fire,San Bernardino,302
WA,2015-07-21T03:10:00.000Z,Fire,Walla Walla,2970
CA,2015-07-23T07:15:00.000Z,Fire,Napa,236
OR,2015-07-31T04:33:00.000Z,Fire,Douglas,2115
CA,2015-07-23T07:15:00.000Z,Fire,Yolo,525
CA,2015-07-23T07:15:00.000Z,Fire,Solano,453
WA,2015-08-05T01:01:00.000Z,Fire,Klickitat,2935
AZ,2015-08-09T01:27:00.000Z,Fire,Mohave,15
CA,2015-08-02T03:46:00.000Z,Fire,Lake,100
OR,2015-08-09T02:34:00.000Z,Fire,Josephine,2152
OR,2015-08-13T05:24:00.000Z,Fire,Baker,2044
WA,2015-08-14T19:53:00.000Z,Fire,Chelan,2852
WA,2015-08-14T02:00:00.000Z,Fire,Okanogan,2947
ID,2015-08-14T03:13:00.000Z,Fire,Idaho,528
WA,2015-08-14T19:53:00.000Z,Fire,Douglas,2877
ID,2015-08-14T03:13:00.000Z,Fire,Lewis,574
WA,2015-08-15T03:51:00.000Z,Fire,Ferry,2880
ID,2015-08-15T06:43:00.000Z,Fire,Clearwater,474
WA,2015-08-19T22:12:00.000Z,Fire,Okanogan,2947
WA,2015-08-14T19:53:00.000Z,Fire,Okanogan,2947
OR,2015-08-21T03:15:00.000Z,Fire,Wallowa,2263
WA,2015-08-15T00:04:00.000Z,Fire,Ferry,2880
WA,2015-08-15T00:43:00.000Z,Fire,Stevens,2963
OR,2015-08-15T00:43:00.000Z,Fire,Grant,2130
WA,2015-08-21T19:52:00.000Z,Fire,Ferry,2880
WA,2015-08-15T03:51:00.000Z,Fire,Okanogan,2947
ID,2015-08-29T21:00:00.000Z,Fire,Idaho,528
WA,2015-08-24T19:53:00.000Z,Fire,Skagit,2958
WA,2015-08-21T19:52:00.000Z,Fire,Stevens,2963
CA,2015-09-10T19:18:00.000Z,Fire,Calaveras,489
WA,2015-08-24T19:53:00.000Z,Fire,Whatcom,2972
CA,2015-09-10T19:18:00.000Z,Fire,Amador,472
CA,2015-09-13T00:30:00.000Z,Fire,Lake,100
CA,2015-09-13T00:30:00.000Z,Fire,Napa,236
CA,2015-09-13T00:30:00.000Z,Fire,Sonoma,463
OK,2015-11-11T22:37:00.000Z,Fire,Washington,2018
WA,2015-09-14T01:42:00.000Z,Fire,Klickitat,2935
WY,2015-10-11T23:00:00.000Z,Fire,Natrona,3038
OR,2015-09-14T02:23:00.000Z,Fire,Baker,2044
TX,2015-10-14T20:49:00.000Z,Fire,Bastrop,2190
OK,2015-11-11T22:37:00.000Z,Fire,Nowata,2290
OK,2016-01-29T20:38:00.000Z,Fire,Creek,2151
KS,2016-03-23T19:45:00.000Z,Fire,Comanche,748
OK,2016-02-18T21:50:00.000Z,Fire,Pawnee,2329
KS,2016-04-05T20:01:00.000Z,Fire,Wabaunsee,920
KS,2016-03-23T19:45:00.000Z,Fire,Barber,717
OK,2016-04-05T21:06:00.000Z,Fire,Woodward,2035
AZ,2016-06-08T22:59:00.000Z,Fire,Yavapai,35
CA,2016-06-05T01:55:00.000Z,Fire,Los Angeles,139
NH,2016-04-21T21:05:00.000Z,Fire,Cheshire,1437
OR,2016-06-08T23:44:00.000Z,Fire,Jefferson,2143
NM,2016-06-16T14:24:00.000Z,Fire,Bernalillo,1574
CA,2016-06-21T00:35:00.000Z,Fire,Los Angeles,139
NM,2016-06-16T14:24:00.000Z,Fire,Torrance,1664
CA,2016-06-19T23:03:00.000Z,Fire,San Diego,315
CA,2016-06-24T00:57:00.000Z,Fire,Kern,84
CA,2016-07-09T22:15:00.000Z,Fire,Los Angeles,139
NM,2016-07-14T14:10:00.000Z,Fire,Otero,1633
UT,2016-06-21T20:56:00.000Z,Fire,Washington,2577
CA,2016-07-28T20:38:00.000Z,Fire,Monterey,228
WY,2016-07-29T14:15:00.000Z,Fire,Uinta,3055
WA,2016-08-22T04:15:00.000Z,Fire,Spokane,2961
WY,2016-07-25T19:10:00.000Z,Fire,Fremont,3028
MT,2016-08-01T12:45:00.000Z,Fire,Ravalli,1268
CA,2016-08-14T19:41:00.000Z,Fire,Lake,100
CA,2016-07-23T21:34:00.000Z,Fire,Los Angeles,139
CA,2016-07-31T00:48:00.000Z,Fire,Fresno,527
NV,2016-07-29T04:30:00.000Z,Fire,Washoe,1423
NV,2016-07-31T19:48:00.000Z,Fire,Washoe,1423
CA,2016-08-16T19:23:00.000Z,Fire,San Bernardino,302
WA,2016-08-01T03:19:00.000Z,Fire,Benton,2847
WA,2016-08-22T04:16:00.000Z,Fire,Spokane,2961
NV,2016-10-02T19:32:00.000Z,Fire,Douglas,1400
