state,declarationDate,incidentType,designatedArea,FID
WA,2015-08-21T11:44:00.000Z,Fire,Colville,29
WA,2015-08-21T11:44:00.000Z,Fire,Kalispel,66
WA,2015-08-21T11:44:00.000Z,Fire,Spokane,138
WA,2015-08-21T11:44:00.000Z,Fire,Yakama Nation,176
WA,2015-10-20T19:05:00.000Z,Fire,Colville,29
MT,2017-09-12T15:51:00.000Z,Fire,Blackfeet,19
CA,2018-07-28T22:49:00.000Z,Fire,Hopland,241
WA,2018-08-11T00:10:00.000Z,Fire,Yakama Nation,176
WA,2021-02-04T10:05:00.000Z,Fire,Colville,29
WA,2021-02-04T10:05:00.000Z,Fire,Yakama Nation,176
WA,2020-08-17T21:58:00.000Z,Fire,Yakama Nation,176
AZ,2020-08-26T01:12:00.000Z,Fire,San Carlos,309
WA,2020-09-07T15:33:00.000Z,Fire,Colville,29
OR,2020-09-08T16:22:00.000Z,Fire,Warm Springs,171
WA,2021-07-13T21:27:00.000Z,Fire,Colville,29
MT,2021-07-28T15:17:00.000Z,Fire,Crow,34
