state,declarationDate,incidentType,designatedArea,FID
FL,2016-10-06T13:00:00.000Z,Hurricane,Baker,641
FL,2016-10-06T13:00:00.000Z,Hurricane,Brevard,686
FL,2016-10-06T13:00:00.000Z,Hurricane,Broward,695
FL,2016-10-06T13:00:00.000Z,Hurricane,Citrus,843
FL,2016-10-06T13:00:00.000Z,Hurricane,Clay,852
FL,2016-10-06T13:00:00.000Z,Hurricane,Duval,924
FL,2016-10-06T13:00:00.000Z,Hurricane,Flagler,935
FL,2016-10-06T13:00:00.000Z,Hurricane,Glades,940
FL,2016-10-06T13:00:00.000Z,Hurricane,Hendry,944
FL,2016-10-06T13:00:00.000Z,Hurricane,Highlands,946
FL,2016-10-06T13:00:00.000Z,Hurricane,Indian River,949
FL,2016-10-06T13:00:00.000Z,Hurricane,Marion,960
FL,2016-10-06T13:00:00.000Z,Hurricane,Lake,953
FL,2016-10-06T13:00:00.000Z,Hurricane,Martin,961
FL,2016-10-06T13:00:00.000Z,Hurricane,Hernando,945
FL,2016-10-06T13:00:00.000Z,Hurricane,Miami-Dade,962
FL,2016-10-06T13:00:00.000Z,Hurricane,Monroe,963
FL,2016-10-06T13:00:00.000Z,Hurricane,Nassau,964
FL,2016-10-06T13:00:00.000Z,Hurricane,Okeechobee,966
FL,2016-10-06T13:00:00.000Z,Hurricane,Orange,967
FL,2016-10-06T13:00:00.000Z,Hurricane,Osceola,968
FL,2016-10-06T13:00:00.000Z,Hurricane,Palm Beach,969
FL,2016-10-06T13:00:00.000Z,Hurricane,Polk,972
FL,2016-10-06T13:00:00.000Z,Hurricane,Putnam,973
FL,2016-10-06T13:00:00.000Z,Hurricane,St. Johns,974
FL,2016-10-06T13:00:00.000Z,Hurricane,St. Lucie,975
FL,2016-10-06T13:00:00.000Z,Hurricane,Seminole,978
FL,2016-10-06T13:00:00.000Z,Hurricane,Volusia,983
SC,2016-10-06T18:00:00.000Z,Hurricane,Aiken,2503
SC,2016-10-06T18:00:00.000Z,Hurricane,Abbeville,2489
SC,2016-10-06T18:00:00.000Z,Hurricane,Allendale,2527
SC,2016-10-06T18:00:00.000Z,Hurricane,Bamberg,2592
SC,2016-10-06T18:00:00.000Z,Hurricane,Barnwell,2605
SC,2016-10-06T18:00:00.000Z,Hurricane,Beaufort,2626
SC,2016-10-06T18:00:00.000Z,Hurricane,Berkeley,2631
SC,2016-10-06T18:00:00.000Z,Hurricane,Calhoun,2635
SC,2016-10-06T18:00:00.000Z,Hurricane,Charleston,2691
SC,2016-10-06T18:00:00.000Z,Hurricane,Anderson,2559
SC,2016-10-06T18:00:00.000Z,Hurricane,Cherokee,2700
SC,2016-10-06T18:00:00.000Z,Hurricane,Chester,2704
SC,2016-10-06T18:00:00.000Z,Hurricane,Chesterfield,2708
SC,2016-10-06T18:00:00.000Z,Hurricane,Clarendon,2715
SC,2016-10-06T18:00:00.000Z,Hurricane,Colleton,2718
SC,2016-10-06T18:00:00.000Z,Hurricane,Dillon,2725
SC,2016-10-06T18:00:00.000Z,Hurricane,Dorchester,2730
SC,2016-10-06T18:00:00.000Z,Hurricane,Fairfield,2738
SC,2016-10-06T18:00:00.000Z,Hurricane,Darlington,2721
SC,2016-10-06T18:00:00.000Z,Hurricane,Florence,2742
SC,2016-10-06T18:00:00.000Z,Hurricane,Georgetown,2752
SC,2016-10-06T18:00:00.000Z,Hurricane,Greenville,2759
SC,2016-10-06T18:00:00.000Z,Hurricane,Greenwood,2764
SC,2016-10-06T18:00:00.000Z,Hurricane,Hampton,2767
SC,2016-10-06T18:00:00.000Z,Hurricane,Horry,2774
