state,declarationDate,incidentType,designatedArea,FID
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Anderson,2584
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Bledsoe,2602
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Blount,2622
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Campbell,2633
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Bedford County,2593
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Claiborne,2670
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Cumberland,2696
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,DeKalb,2710
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Fentress,2731
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Coffee,2689
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Grainger,2748
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Greene,2750
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Giles,2743
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Davidson,2698
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Clay,2679
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Grundy,2754
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Cocke,2686
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Hamblen,2757
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Hardeman,2770
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Hardin,2773
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Hawkins,2779
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Hancock,2766
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Jefferson,2804
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Knox,2814
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Lawrence,2823
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,McMinn,2833
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Marshall,2848
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,McNairy,2836
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Monroe,2857
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Loudon,2830
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Moore,2863
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Morgan,2866
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Putnam,2890
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Overton,2875
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Pickett,2881
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Rhea,2893
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Obion,2872
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Roane,2001
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Sevier,2030
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Scott,2020
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Meigs,2854
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Wayne,2089
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,White,2100
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Warren,2081
TN,2015-04-02T09:20:00.000Z,Severe Ice Storm,Van Buren,2077
GA,2015-04-20T12:40:00.000Z,Severe Ice Storm,Banks,992
GA,2015-04-20T12:40:00.000Z,Severe Ice Storm,Barrow,993
GA,2015-04-20T12:40:00.000Z,Severe Ice Storm,Dawson,713
GA,2015-04-20T12:40:00.000Z,Severe Ice Storm,Elbert,746
GA,2015-04-20T12:40:00.000Z,Severe Ice Storm,Franklin,772
GA,2015-04-20T12:40:00.000Z,Severe Ice Storm,Habersham,806
GA,2015-04-20T12:40:00.000Z,Severe Ice Storm,Hart,816
GA,2015-04-20T12:40:00.000Z,Severe Ice Storm,Forsyth,768
GA,2015-04-20T12:40:00.000Z,Severe Ice Storm,Madison,875
GA,2015-04-20T12:40:00.000Z,Severe Ice Storm,Oglethorpe,905
GA,2015-04-20T12:40:00.000Z,Severe Ice Storm,Pickens,912
GA,2015-04-20T12:40:00.000Z,Severe Ice Storm,Hall,808
GA,2015-04-20T12:40:00.000Z,Severe Ice Storm,Jackson,828
GA,2015-04-20T12:40:00.000Z,Severe Ice Storm,Stephens,45
GA,2015-04-20T12:40:00.000Z,Severe Ice Storm,Lumpkin,865
GA,2015-04-20T12:40:00.000Z,Severe Ice Storm,White,157
OK,2015-12-29T18:00:00.000Z,Severe Ice Storm,Alfalfa,2099
OK,2015-12-29T18:00:00.000Z,Severe Ice Storm,Beckham,2106
OK,2015-12-29T18:00:00.000Z,Severe Ice Storm,Blaine,2110
OK,2015-12-29T18:00:00.000Z,Severe Ice Storm,Bryan,2112
OK,2015-12-29T18:00:00.000Z,Severe Ice Storm,Caddo,2118
OK,2015-12-29T18:00:00.000Z,Severe Ice Storm,Custer,2153
OK,2015-12-29T18:00:00.000Z,Severe Ice Storm,Canadian,2123
OK,2015-12-29T18:00:00.000Z,Severe Ice Storm,Ellis,2165
OK,2015-12-29T18:00:00.000Z,Severe Ice Storm,Dewey,2158
OK,2015-12-29T18:00:00.000Z,Severe Ice Storm,Garfield,2167
OK,2015-12-29T18:00:00.000Z,Severe Ice Storm,Grady,2184
OK,2015-12-29T18:00:00.000Z,Severe Ice Storm,Grant,2187
OK,2015-12-29T18:00:00.000Z,Severe Ice Storm,Greer,2189
OK,2015-12-29T18:00:00.000Z,Severe Ice Storm,Kiowa,2222
OK,2015-12-29T18:00:00.000Z,Severe Ice Storm,Logan,2236
OK,2015-12-29T18:00:00.000Z,Severe Ice Storm,Major,2260
OK,2015-12-29T18:00:00.000Z,Severe Ice Storm,Oklahoma,2303
OK,2015-12-29T18:00:00.000Z,Severe Ice Storm,Roger Mills,2369
OK,2015-12-29T18:00:00.000Z,Severe Ice Storm,Washita,2023
OK,2015-12-29T18:00:00.000Z,Severe Ice Storm,Kingfisher,2219
OK,2015-12-29T18:00:00.000Z,Severe Ice Storm,Woods,2029
KS,2017-02-24T09:50:00.000Z,Severe Ice Storm,Barton,719
KS,2017-02-24T09:50:00.000Z,Severe Ice Storm,Edwards,770
KS,2017-02-24T09:50:00.000Z,Severe Ice Storm,Ellsworth,776
KS,2017-02-24T09:50:00.000Z,Severe Ice Storm,Comanche,748
KS,2017-02-24T09:50:00.000Z,Severe Ice Storm,Clark,738
KS,2017-02-24T09:50:00.000Z,Severe Ice Storm,Hodgeman,818
KS,2017-02-24T09:50:00.000Z,Severe Ice Storm,Kiowa,829
KS,2017-02-24T09:50:00.000Z,Severe Ice Storm,Pawnee,872
KS,2017-02-24T09:50:00.000Z,Severe Ice Storm,Pratt,878
KS,2017-02-24T09:50:00.000Z,Severe Ice Storm,Meade,851
KS,2017-02-24T09:50:00.000Z,Severe Ice Storm,Rice,886
KS,2017-02-24T09:50:00.000Z,Severe Ice Storm,Jewell,822
KS,2017-02-24T09:50:00.000Z,Severe Ice Storm,Russell,893
KS,2017-02-24T09:50:00.000Z,Severe Ice Storm,Ford,784
KS,2017-02-24T09:50:00.000Z,Severe Ice Storm,Ness,864
KS,2017-02-24T09:50:00.000Z,Severe Ice Storm,Rush,891
KS,2017-02-24T09:50:00.000Z,Severe Ice Storm,Sheridan,904
KS,2017-02-24T09:50:00.000Z,Severe Ice Storm,Stafford,911
KS,2017-02-24T09:50:00.000Z,Severe Ice Storm,Trego,919
KS,2017-02-24T09:50:00.000Z,Severe Ice Storm,Seward,900
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Anderson,2113
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Andrews,2117
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Angelina,2124
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Aransas,2162
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Archer,2168
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Armstrong,2172
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Atascosa,2173
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Austin,2177
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Bailey,2179
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Bandera,2183
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Bastrop,2190
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Baylor,2192
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Bee,2196
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Bell,2198
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Bexar,2203
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Blanco,2207
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Borden,2212
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Bosque,2216
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Bowie,2224
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Brazoria,2240
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Brazos,2253
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Brewster,2262
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Briscoe,2269
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Brooks,2279
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Brown,2296
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Burleson,2304
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Burnet,2312
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Calhoun,2327
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Callahan,2331
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Cameron,2359
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Camp,2373
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Carson,2377
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Caldwell,2320
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Cass,2382
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Castro,2386
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Chambers,2395
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Cherokee,2400
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Childress,2405
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Clay,2409
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Cochran,2413
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Coke,2418
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Coleman,2423
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Collin,2429
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Collingsworth,2434
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Colorado,2441
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Comal,2449
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Comanche,2455
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Concho,2458
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Cooke,2463
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Coryell,2469
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Cottle,2473
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Crane,2478
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Crockett,2483
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Crosby,2487
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Dallam,2498
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Dallas,2507
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Dawson,2512
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Deaf Smith,2515
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Culberson,2491
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Denton,2532
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,DeWitt,2538
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Dickens,2542
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Dimmit,2548
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Delta,2524
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Donley,2551
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Duval,2556
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Eastland,2562
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Ector,2568
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Edwards,2574
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Ellis,2579
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,El Paso,2588
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Erath,2597
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Falls,2601
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Fannin,2621
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Fayette,2624
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Fisher,2628
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Floyd,2630
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Foard,2002
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Fort Bend,2009
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Franklin,2016
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Freestone,2022
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Frio,2028
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Gaines,2032
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Galveston,2059
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Garza,2060
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Gillespie,2066
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Glasscock,2072
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Gonzales,2086
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Gray,2088
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Grayson,2094
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Gregg,2101
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Goliad,2079
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Grimes,2108
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Guadalupe,2116
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Hale,2120
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Hall,2125
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Hamilton,2128
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Hansford,2132
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Hardeman,2137
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Hardin,2142
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Harris,2149
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Harrison,2157
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Hartley,2160
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Haskell,2163
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Hays,2166
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Hemphill,2171
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Henderson,2178
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Hidalgo,2188
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Hill,2201
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Hood,2213
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Hopkins,2221
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Houston,2228
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Howard,2231
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Hockley,2208
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Hunt,2246
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Hutchinson,2249
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Irion,2255
TX,2021-02-14T18:35:00.000Z,Severe Ice Storm,Jack,2256
