BaseYear,state,incidentType,designatedArea,Freq,FID
2015,ME,Snow,Androscoggin,1,1532
2015,ME,Snow,Cumberland,1,1608
2015,ME,Snow,Sagadahoc,1,1855
2015,ME,Snow,York,1,1901
2015,KY,Snow,Adair,1,928
2015,KY,Snow,Ballard,1,932
2015,KY,Snow,Clark,1,1053
2015,KY,Snow,Butler,1,1026
2015,KY,Snow,Boyle,1,1010
2015,KY,Snow,Floyd,1,1085
2015,KY,Snow,Edmonson,1,1073
2015,KY,Snow,Estill,1,1077
2015,KY,Snow,Franklin,1,1086
2015,KY,Snow,Jessamine,1,1145
2015,KY,Snow,Anderson,1,930
2015,KY,Snow,Knott,1,1154
2015,KY,Snow,Harlan,1,1114
2015,KY,Snow,Jackson,1,1140
2015,KY,Snow,Boyd,1,1008
2015,KY,Snow,Caldwell,1,1031
2015,KY,Snow,Lee,1,1171
2015,KY,Snow,Letcher,1,1178
2015,KY,Snow,Knox,1,1159
2015,KY,Snow,Lyon,1,1193
2015,KY,Snow,McCracken,1,1196
2015,KY,Snow,Magoffin,1,1206
2015,KY,Snow,Lewis,1,1180
2015,KY,Snow,Lincoln,1,1184
2015,KY,Snow,Lawrence,1,1167
2015,KY,Snow,Menifee,1,1222
2015,KY,Snow,Metcalfe,1,1228
2015,KY,Snow,Marshall,1,1213
2015,KY,Snow,Perry,1,1265
2015,KY,Snow,Pike,1,1267
2015,KY,Snow,Powell,1,1270
2015,KY,Snow,Pendleton,1,1260
2015,KY,Snow,Morgan,1,1235
2015,KY,Snow,Simpson,1,1287
2015,KY,Snow,Union,1,1016
2015,KY,Snow,Washington,1,1023
2015,KY,Snow,Taylor,1,1003
2015,KY,Snow,Rockcastle,1,1276
2015,KY,Snow,Wayne,1,1027
2015,KY,Snow,Wolfe,1,1037
2015,KY,Snow,Woodford,1,1042
2015,MD,Snow,Allegany,1,1905
2015,MD,Snow,Anne Arundel,1,1925
2015,MD,Snow,Baltimore County,1,1939
2015,MD,Snow,Calvert,1,1946
2015,DC,Snow,District of Columbia,1,630
