state,declarationDate,incidentType,designatedArea,FID
ME,2015-03-12T13:55:00.000Z,Snow,Androscoggin,1532
ME,2015-03-12T13:55:00.000Z,Snow,Cumberland,1608
ME,2015-03-12T13:55:00.000Z,Snow,Sagadahoc,1855
ME,2015-03-12T13:55:00.000Z,Snow,York,1901
KY,2015-04-30T17:35:00.000Z,Snow,Adair,928
KY,2015-04-30T17:35:00.000Z,Snow,Ballard,932
KY,2015-04-30T17:35:00.000Z,Snow,Clark,1053
KY,2015-04-30T17:35:00.000Z,Snow,Butler,1026
KY,2015-04-30T17:35:00.000Z,Snow,Boyle,1010
KY,2015-04-30T17:35:00.000Z,Snow,Floyd,1085
KY,2015-04-30T17:35:00.000Z,Snow,Edmonson,1073
KY,2015-04-30T17:35:00.000Z,Snow,Estill,1077
KY,2015-04-30T17:35:00.000Z,Snow,Franklin,1086
KY,2015-04-30T17:35:00.000Z,Snow,Jessamine,1145
KY,2015-04-30T17:35:00.000Z,Snow,Anderson,930
KY,2015-04-30T17:35:00.000Z,Snow,Knott,1154
KY,2015-04-30T17:35:00.000Z,Snow,Harlan,1114
KY,2015-04-30T17:35:00.000Z,Snow,Jackson,1140
KY,2015-04-30T17:35:00.000Z,Snow,Boyd,1008
KY,2015-04-30T17:35:00.000Z,Snow,Caldwell,1031
KY,2015-04-30T17:35:00.000Z,Snow,Lee,1171
KY,2015-04-30T17:35:00.000Z,Snow,Letcher,1178
KY,2015-04-30T17:35:00.000Z,Snow,Knox,1159
KY,2015-04-30T17:35:00.000Z,Snow,Lyon,1193
KY,2015-04-30T17:35:00.000Z,Snow,McCracken,1196
KY,2015-04-30T17:35:00.000Z,Snow,Magoffin,1206
KY,2015-04-30T17:35:00.000Z,Snow,Lewis,1180
KY,2015-04-30T17:35:00.000Z,Snow,Lincoln,1184
KY,2015-04-30T17:35:00.000Z,Snow,Lawrence,1167
KY,2015-04-30T17:35:00.000Z,Snow,Menifee,1222
KY,2015-04-30T17:35:00.000Z,Snow,Metcalfe,1228
KY,2015-04-30T17:35:00.000Z,Snow,Marshall,1213
KY,2015-04-30T17:35:00.000Z,Snow,Perry,1265
KY,2015-04-30T17:35:00.000Z,Snow,Pike,1267
KY,2015-04-30T17:35:00.000Z,Snow,Powell,1270
KY,2015-04-30T17:35:00.000Z,Snow,Pendleton,1260
KY,2015-04-30T17:35:00.000Z,Snow,Morgan,1235
KY,2015-04-30T17:35:00.000Z,Snow,Simpson,1287
KY,2015-04-30T17:35:00.000Z,Snow,Union,1016
KY,2015-04-30T17:35:00.000Z,Snow,Washington,1023
KY,2015-04-30T17:35:00.000Z,Snow,Taylor,1003
KY,2015-04-30T17:35:00.000Z,Snow,Rockcastle,1276
KY,2015-04-30T17:35:00.000Z,Snow,Wayne,1027
KY,2015-04-30T17:35:00.000Z,Snow,Wolfe,1037
KY,2015-04-30T17:35:00.000Z,Snow,Woodford,1042
MD,2016-03-04T14:35:00.000Z,Snow,Allegany,1905
MD,2016-03-04T14:35:00.000Z,Snow,Anne Arundel,1925
MD,2016-03-04T14:35:00.000Z,Snow,Baltimore County,1939
MD,2016-03-04T14:35:00.000Z,Snow,Calvert,1946
DC,2016-03-04T13:50:00.000Z,Snow,District of Columbia,630
MD,2016-03-04T14:35:00.000Z,Snow,Caroline,1949
MD,2016-03-04T14:35:00.000Z,Snow,Carroll,1955
MD,2016-03-04T14:35:00.000Z,Snow,Cecil,1963
MD,2016-03-04T14:35:00.000Z,Snow,Charles,1294
