BaseYear,state,incidentType,designatedArea,Freq,FID
2015,MS,Tornado,Marion,1,1653
2015,MT,Tornado,Fallon,1,1165
2015,MS,Tornado,Forrest,1,1572
2015,MS,Tornado,Lamar,1,1623
2015,MS,Tornado,Lauderdale,1,1628
2015,GA,Tornado,Baker,1,990
2015,GA,Tornado,Appling,1,987
2015,MS,Tornado,Perry,1,1679
2015,GA,Tornado,Brantley,1,999
2015,GA,Tornado,Brooks,1,565
2015,GA,Tornado,Bulloch,1,579
2015,GA,Tornado,Colquitt,1,689
2015,GA,Tornado,Echols,1,737
2015,GA,Tornado,Lowndes,1,863
2015,GA,Tornado,Putnam,1,13
2015,GA,Tornado,Calhoun,1,592
2015,GA,Tornado,Clay,1,670
2015,GA,Tornado,Tattnall,1,63
2015,GA,Tornado,Randolph,1,23
2015,GA,Tornado,Upson,1,123
2015,GA,Tornado,Ware,1,132
2015,GA,Tornado,Cook,1,697
2015,GA,Tornado,Turner,1,108
2015,GA,Tornado,Thomas,1,83
2015,GA,Tornado,Worth,1,173
2015,GA,Tornado,Crisp,1,707
2015,GA,Tornado,Dougherty,1,728
2015,GA,Tornado,Berrien,1,996
2015,GA,Tornado,Wilcox,1,163
2015,LA,Tornado,Livingston,1,1295
2015,LA,Tornado,Orleans,1,1304
2015,OK,Tornado,Beckham,1,2106
2015,OK,Tornado,Cherokee,1,2129
2015,OK,Tornado,Coal,1,2144
2015,OK,Tornado,Cotton,1,2146
2015,OK,Tornado,Alfalfa,1,2099
2015,OK,Tornado,Delaware,1,2154
2015,OK,Tornado,Johnston,1,2211
2015,OK,Tornado,Le Flore,1,2230
2015,OK,Tornado,Murray,1,2276
2015,OK,Tornado,Muskogee,1,2281
2015,OK,Tornado,Okfuskee,1,2297
2015,OK,Tornado,Okmulgee,1,2311
2015,OK,Tornado,Pittsburg,1,2344
2015,OK,Tornado,Roger Mills,1,2369
2015,OK,Tornado,Pontotoc,1,2351
2015,OK,Tornado,Washita,1,2023
2015,CT,Tornado,Fairfield,1,410
2015,CT,Tornado,New Haven,1,466
2015,AL,Tornado,Lee,1,187
2015,OH,Tornado,Columbiana,1,2315
2015,OH,Tornado,Auglaize,1,2273
2015,OH,Tornado,Hocking,1,2461
2015,OH,Tornado,Miami,1,2558
2015,OH,Tornado,Mahoning,1,2534
2015,OH,Tornado,Muskingum,1,2010
2015,OH,Tornado,Perry,1,2027
2015,OH,Tornado,Pickaway,1,2031
2015,OH,Tornado,Greene,1,2393
2015,OH,Tornado,Mercer,1,2552
2015,OH,Tornado,Darke,1,2345
2015,OH,Tornado,Montgomery,1,2573
2015,TN,Tornado,Carroll,1,2648
2015,TN,Tornado,Benton,1,2598
2015,TN,Tornado,Davidson,2,2698
2015,TN,Tornado,Smith,2,2037
2015,TN,Tornado,Putnam,1,2890
2015,TN,Tornado,Wilson,2,2111
2015,AR,Tornado,Craighead,1,114
2015,AR,Tornado,Arkansas,1,46
2015,AR,Tornado,Bradley,1,68
2015,AR,Tornado,Cleveland,1,103
2015,AR,Tornado,Dallas,1,128
2015,AR,Tornado,Desha,1,130
2015,AR,Tornado,Drew,1,136
2015,AR,Tornado,Grant,1,155
2015,AR,Tornado,Jefferson,1,213
2015,AR,Tornado,Lincoln,1,244
2015,AR,Tornado,Ouachita,1,316
2015,AR,Tornado,Monroe,1,300
2015,AR,Tornado,Phillips,1,322
2015,TN,Tornado,Campbell,1,2633
2015,TN,Tornado,Cannon,1,2638
2015,TN,Tornado,Cheatham,1,2660
2015,TN,Tornado,Claiborne,1,2670
2015,TN,Tornado,Clay,1,2679
2015,TN,Tornado,Decatur,1,2705
2015,TN,Tornado,Fentress,1,2731
2015,TN,Tornado,Hardeman,1,2770
2015,TN,Tornado,Henderson,1,2786
2015,TN,Tornado,Hickman,1,2792
2015,TN,Tornado,Grainger,1,2748
2015,TN,Tornado,Jackson,1,2801
2015,TN,Tornado,McNairy,1,2836
2015,TN,Tornado,Madison,1,2841
2015,TN,Tornado,Maury,1,2850
2015,TN,Tornado,Moore,1,2863
2015,TN,Tornado,Overton,1,2875
2015,TN,Tornado,Scott,1,2020
2015,TN,Tornado,Wayne,1,2089
2015,TN,Tornado,Williamson,1,2105
2015,TN,Tornado,Marion,1,2844
