Reservation,Freq
Tule River,1
Rosebud,2
Turtle Mountain,1
Isleta,1
Lake Traverse,1
Fort Belknap,1
Bois forte,1
Santa Clara,1
Sac and Fox Nation,1
Omaha,1
Santee,1
Winnebago,1
Cheyenne River,2
Red Lake,3
Soboba,1
Pine Ridge,1
Leech Lake,1
Standing Rock,3
Nez Perce,1
Eastern Cherokee,1
Sandia,1
Navajo Nation,1
Mescalero,1
Prairie Island,2
Havasupai,1
Moapa River,1
Sac and Fox/Meskwaki,2
Upper Sioux,1
Spirit Lake,1
Umatilla,1
Rocky Boy's,1
St. Croix,1
White Earth,2
Colville,1
Menominee,1
Fort Peck,1
Acoma,1
