State,designatedArea,disasterType,Freq,FEMA_Object_ID
Pennsylvania,Bucks,Severe Ice Storm,1,2877
Pennsylvania,Delaware,Severe Ice Storm,1,2891
Pennsylvania,Lancaster,Severe Ice Storm,1,2904
Pennsylvania,Chester,Severe Ice Storm,1,2883
Pennsylvania,Montgomery,Severe Ice Storm,1,2914
Pennsylvania,Philadelphia,Severe Ice Storm,1,2919
Pennsylvania,York,Severe Ice Storm,1,2935
Georgia,Baldwin,Severe Ice Storm,2,2156
Georgia,Barrow,Severe Ice Storm,2,2158
Georgia,Bartow,Severe Ice Storm,1,1995
Georgia,Bibb,Severe Ice Storm,1,2159
Georgia,Banks,Severe Ice Storm,2,2157
Georgia,Bleckley,Severe Ice Storm,1,2160
Georgia,Bulloch,Severe Ice Storm,2,2161
Georgia,Burke,Severe Ice Storm,2,2162
Georgia,Candler,Severe Ice Storm,2,2163
Georgia,Carroll,Severe Ice Storm,2,1997
Georgia,Catoosa,Severe Ice Storm,1,1998
Georgia,Chattooga,Severe Ice Storm,1,2000
Georgia,Cherokee,Severe Ice Storm,1,2001
Georgia,Butts,Severe Ice Storm,2,1996
Georgia,Clayton,Severe Ice Storm,1,2002
Georgia,Clarke,Severe Ice Storm,1,2164
Georgia,Cobb,Severe Ice Storm,1,2003
Georgia,Columbia,Severe Ice Storm,2,2165
Georgia,Coweta,Severe Ice Storm,2,2004
Georgia,Douglas,Severe Ice Storm,1,2009
Georgia,Elbert,Severe Ice Storm,2,2169
Georgia,Emanuel,Severe Ice Storm,2,2170
Georgia,DeKalb,Severe Ice Storm,1,2008
Georgia,Crawford,Severe Ice Storm,1,2005
Georgia,Dade,Severe Ice Storm,2,2006
Georgia,Dawson,Severe Ice Storm,2,2007
Georgia,Fannin,Severe Ice Storm,2,2010
Georgia,Fayette,Severe Ice Storm,2,2011
Georgia,Floyd,Severe Ice Storm,1,2012
Georgia,Gilmer,Severe Ice Storm,2,2015
Georgia,Glascock,Severe Ice Storm,2,2173
Georgia,Gordon,Severe Ice Storm,1,2016
Georgia,Forsyth,Severe Ice Storm,2,2013
Georgia,Fulton,Severe Ice Storm,2,2014
Georgia,Franklin,Severe Ice Storm,2,2172
Georgia,Greene,Severe Ice Storm,1,2174
Georgia,Gwinnett,Severe Ice Storm,1,2017
Georgia,Habersham,Severe Ice Storm,3,2175
Georgia,Hall,Severe Ice Storm,2,2176
Georgia,Hart,Severe Ice Storm,2,2178
Georgia,Heard,Severe Ice Storm,2,2020
Georgia,Hancock,Severe Ice Storm,2,2177
Georgia,Henry,Severe Ice Storm,1,2021
Georgia,Haralson,Severe Ice Storm,2,2018
Georgia,Houston,Severe Ice Storm,1,2179
Georgia,Jackson,Severe Ice Storm,2,2180
Georgia,Jasper,Severe Ice Storm,2,2181
Georgia,Jefferson,Severe Ice Storm,2,2182
Georgia,Jenkins,Severe Ice Storm,2,2183
Georgia,Johnson,Severe Ice Storm,2,2184
Georgia,Jones,Severe Ice Storm,2,2185
Georgia,Lamar,Severe Ice Storm,2,2022
Georgia,Laurens,Severe Ice Storm,1,2186
Georgia,Lincoln,Severe Ice Storm,1,2187
Georgia,McDuffie,Severe Ice Storm,2,2188
Georgia,Lumpkin,Severe Ice Storm,2,2023
Georgia,Madison,Severe Ice Storm,3,2189
Georgia,Meriwether,Severe Ice Storm,2,2026
Georgia,Monroe,Severe Ice Storm,2,2027
Georgia,Morgan,Severe Ice Storm,2,2191
Georgia,Murray,Severe Ice Storm,1,2028
Georgia,Newton,Severe Ice Storm,2,2192
Georgia,Oconee,Severe Ice Storm,1,2193
Georgia,Paulding,Severe Ice Storm,1,2030
Georgia,Peach,Severe Ice Storm,1,2195
Georgia,Oglethorpe,Severe Ice Storm,2,2194
Georgia,Pickens,Severe Ice Storm,3,2031
Georgia,Pike,Severe Ice Storm,2,2032
Georgia,Polk,Severe Ice Storm,1,2033
Georgia,Putnam,Severe Ice Storm,1,2197
Georgia,Richmond,Severe Ice Storm,2,2199
Georgia,Rockdale,Severe Ice Storm,1,2034
Georgia,Screven,Severe Ice Storm,2,2200
Georgia,Spalding,Severe Ice Storm,2,2036
Georgia,Stephens,Severe Ice Storm,2,2201
Georgia,Taliaferro,Severe Ice Storm,2,2202
Georgia,Towns,Severe Ice Storm,1,2204
Georgia,Rabun,Severe Ice Storm,1,2198
Georgia,Treutlen,Severe Ice Storm,1,2205
Georgia,Troup,Severe Ice Storm,1,2039
Georgia,Twiggs,Severe Ice Storm,2,2206
Georgia,Union,Severe Ice Storm,1,2040
Georgia,Upson,Severe Ice Storm,2,2041
Georgia,Walker,Severe Ice Storm,2,2042
Georgia,Walton,Severe Ice Storm,1,2207
Georgia,Warren,Severe Ice Storm,2,2208
