Reservation,Freq
Turtle Mountain,1
Lake Traverse,1
Lower Brule,2
Fort Belknap,1
Mashantucket Pequot,2
Santa Clara,3
Santo Domingo,1
Reno-Sparks,1
Grand Ronde,1
Creek,1
Catawba,1
Cheyenne River,3
Pyramid lake Paiute,1
Bad River,1
Soboba,1
Pawnee,2
Pine Ridge,6
Sandia,1
Navajo Nation,2
Washoe Ranches,1
Red Cliff,1
Sac and Fox/Meskwaki,1
Coeur d'Alene,1
Yankton,1
Puyallup,1
Flandreau,1
Spirit Lake,1
Cahuilla,1
Resighini,1
Cochiti,1
Crow Creek,1
Grand Portage,1
Colville,1
Mille Lacs,1
La Jolla,1
Fond du Lac,1
Hoopa Valley,1
Tohono O'odham Nation,1
San Felipe,1
Acoma,1
