State,designatedArea,disasterType,Freq,FEMA_Object_ID
West Virginia,Berkeley,Severe Storms,2,2960
West Virginia,Barbour,Severe Storms,3,2959
West Virginia,Boone,Severe Storms,4,2334
West Virginia,Brooke,Severe Storms,1,2961
West Virginia,Doddridge,Severe Storms,5,2581
West Virginia,Clay,Severe Storms,3,2580
New Hampshire,Strafford,Severe Storms,3,3019
West Virginia,Fayette,Severe Storms,3,2335
New Hampshire,Belknap,Severe Storms,4,3012
West Virginia,Calhoun,Severe Storms,2,2579
West Virginia,Gilmer,Severe Storms,3,2582
West Virginia,Braxton,Severe Storms,4,2577
West Virginia,Cabell,Severe Storms,4,2578
West Virginia,Hampshire,Severe Storms,2,2963
West Virginia,Hancock,Severe Storms,1,2964
West Virginia,Hardy,Severe Storms,3,2965
West Virginia,Harrison,Severe Storms,5,2966
West Virginia,Greenbrier,Severe Storms,2,2779
West Virginia,Grant,Severe Storms,3,2962
West Virginia,Jackson,Severe Storms,4,2583
West Virginia,Jefferson,Severe Storms,3,2967
West Virginia,Lincoln,Severe Storms,7,2337
West Virginia,Logan,Severe Storms,6,2338
West Virginia,McDowell,Severe Storms,3,2339
West Virginia,Marshall,Severe Storms,4,2584
West Virginia,Kanawha,Severe Storms,3,2336
West Virginia,Mason,Severe Storms,2,2585
West Virginia,Mercer,Severe Storms,3,2340
West Virginia,Marion,Severe Storms,3,2969
West Virginia,Mingo,Severe Storms,6,2341
West Virginia,Monroe,Severe Storms,2,2780
West Virginia,Mineral,Severe Storms,2,2970
West Virginia,Morgan,Severe Storms,2,2972
West Virginia,Nicholas,Severe Storms,3,2342
West Virginia,Ohio,Severe Storms,2,2586
West Virginia,Pendleton,Severe Storms,3,2973
West Virginia,Pocahontas,Severe Storms,2,2974
West Virginia,Lewis,Severe Storms,3,2968
West Virginia,Preston,Severe Storms,4,2975
West Virginia,Putnam,Severe Storms,3,2588
West Virginia,Randolph,Severe Storms,3,2976
West Virginia,Pleasants,Severe Storms,2,2587
West Virginia,Monongalia,Severe Storms,4,2971
West Virginia,Roane,Severe Storms,5,2590
West Virginia,Ritchie,Severe Storms,4,2589
West Virginia,Tucker,Severe Storms,4,2978
West Virginia,Summers,Severe Storms,3,2344
West Virginia,Raleigh,Severe Storms,3,2343
West Virginia,Upshur,Severe Storms,3,2979
