State,designatedArea,disasterType,Freq,FEMA_Object_ID
Oklahoma,Haskell,Tornado,1,830
Oklahoma,Craig,Tornado,1,817
Oklahoma,Nowata,Tornado,1,852
Oklahoma,Ottawa,Tornado,1,857
Oklahoma,Latimer,Tornado,1,838
Oklahoma,McIntosh,Tornado,1,845
Oklahoma,Hughes,Tornado,1,831
Oklahoma,Pittsburg,Tornado,2,860
Oklahoma,Atoka,Tornado,1,802
Oklahoma,Coal,Tornado,2,814
Oklahoma,Seminole,Tornado,1,866
Oklahoma,Le Flore,Tornado,2,839
Oklahoma,Pushmataha,Tornado,1,863
Oklahoma,Canadian,Tornado,1,808
Oklahoma,Cleveland,Tornado,1,813
Oklahoma,Lincoln,Tornado,1,840
Oklahoma,McClain,Tornado,1,843
Oklahoma,Okfuskee,Tornado,2,853
Oklahoma,Oklahoma,Tornado,1,854
Oklahoma,Okmulgee,Tornado,2,855
Oklahoma,Pottawatomie,Tornado,1,862
Illinois,Champaign,Tornado,1,1733
Illinois,Douglas,Tornado,1,1744
Illinois,Fayette,Tornado,1,1749
Illinois,Grundy,Tornado,1,1753
Illinois,Jasper,Tornado,1,1758
Illinois,La Salle,Tornado,1,1766
Illinois,Massac,Tornado,1,1549
Illinois,Pope,Tornado,1,1552
Illinois,Tazewell,Tornado,1,1799
Illinois,Vermilion,Tornado,1,1800
Illinois,Wabash,Tornado,1,1801
Illinois,Washington,Tornado,1,1557
Illinois,Wayne,Tornado,1,1803
Illinois,Will,Tornado,1,1805
Illinois,Woodford,Tornado,1,1807
Nebraska,Clay,Tornado,1,703
Nebraska,Fillmore,Tornado,1,715
Nebraska,Saline,Tornado,1,761
Nebraska,Seward,Tornado,1,765
Nebraska,York,Tornado,1,778
Nebraska,Saunders,Tornado,1,763
Mississippi,Marion,Tornado,1,1453
Montana,Fallon,Tornado,1,1109
Mississippi,Forrest,Tornado,1,1439
Mississippi,Lamar,Tornado,1,1450
Mississippi,Lauderdale,Tornado,1,1617
Georgia,Baker,Tornado,1,1335
Georgia,Appling,Tornado,1,1332
Mississippi,Perry,Tornado,1,1455
Georgia,Brantley,Tornado,1,1338
Georgia,Brooks,Tornado,1,1339
Georgia,Bulloch,Tornado,1,2161
Georgia,Colquitt,Tornado,1,1348
Georgia,Echols,Tornado,1,1354
Georgia,Lowndes,Tornado,1,1363
Georgia,Putnam,Tornado,1,2197
Georgia,Calhoun,Tornado,1,1341
Georgia,Clay,Tornado,1,1345
Georgia,Tattnall,Tornado,1,1373
Georgia,Randolph,Tornado,1,1369
Georgia,Upson,Tornado,1,2041
Georgia,Ware,Tornado,1,1379
Georgia,Cook,Tornado,1,1349
Georgia,Turner,Tornado,1,1378
Georgia,Thomas,Tornado,1,1376
Georgia,Worth,Tornado,1,1384
Georgia,Crisp,Tornado,1,1350
Georgia,Dougherty,Tornado,1,1352
Georgia,Berrien,Tornado,1,1337
Georgia,Wilcox,Tornado,1,1383
Louisiana,Livingston,Tornado,1,1407
Louisiana,Orleans,Tornado,1,1409
Oklahoma,Beckham,Tornado,1,804
Oklahoma,Cherokee,Tornado,1,810
Oklahoma,Cotton,Tornado,1,816
Oklahoma,Alfalfa,Tornado,1,801
Oklahoma,Delaware,Tornado,1,820
Oklahoma,Johnston,Tornado,1,834
Oklahoma,Murray,Tornado,1,849
Oklahoma,Muskogee,Tornado,1,850
Oklahoma,Roger Mills,Tornado,1,864
Oklahoma,Pontotoc,Tornado,1,861
Oklahoma,Washita,Tornado,1,874
Connecticut,Fairfield,Tornado,1,2981
Connecticut,New Haven,Tornado,1,2985
Alabama,Lee,Tornado,1,1981
Ohio,Columbiana,Tornado,1,2503
Ohio,Auglaize,Tornado,1,2494
Ohio,Hocking,Tornado,1,2525
Ohio,Miami,Tornado,1,2543
Ohio,Mahoning,Tornado,1,2538
Ohio,Muskingum,Tornado,1,2548
Ohio,Perry,Tornado,1,2552
Ohio,Pickaway,Tornado,1,2553
Ohio,Greene,Tornado,1,2517
Ohio,Mercer,Tornado,1,2542
Ohio,Darke,Tornado,1,2507
Ohio,Montgomery,Tornado,1,2545
Tennessee,Carroll,Tornado,1,1695
Tennessee,Benton,Tornado,1,1694
Tennessee,Davidson,Tornado,2,2118
Tennessee,Smith,Tornado,2,2148
Tennessee,Putnam,Tornado,1,2141
Tennessee,Wilson,Tornado,2,2155
Arkansas,Craighead,Tornado,1,1494
Arkansas,Arkansas,Tornado,1,1480
Arkansas,Bradley,Tornado,1,1484
Arkansas,Cleveland,Tornado,1,1491
Arkansas,Dallas,Tornado,1,1497
Arkansas,Desha,Tornado,1,1498
Arkansas,Drew,Tornado,1,1499
Arkansas,Grant,Tornado,1,1503
Arkansas,Jefferson,Tornado,1,1509
Arkansas,Lincoln,Tornado,1,1514
Arkansas,Ouachita,Tornado,1,1522
Arkansas,Monroe,Tornado,1,1518
Arkansas,Phillips,Tornado,1,1524
Tennessee,Campbell,Tornado,1,2112
Tennessee,Cannon,Tornado,1,2113
Tennessee,Cheatham,Tornado,1,2114
Tennessee,Claiborne,Tornado,1,2302
Tennessee,Clay,Tornado,1,2115
Tennessee,Decatur,Tornado,1,1698
Tennessee,Fentress,Tornado,1,2120
Tennessee,Hardeman,Tornado,1,1703
Tennessee,Henderson,Tornado,1,1706
Tennessee,Hickman,Tornado,1,1708
Tennessee,Grainger,Tornado,1,2304
Tennessee,Jackson,Tornado,1,2125
Tennessee,McNairy,Tornado,1,1715
