State,Old_County_Name,New_County_Name,FID
Kentucky,Ballard (County),Ballard,932
Kentucky,Breckinridge (County),Breckinridge,1020
Kentucky,Carlisle (County),Carlisle,1039
Kentucky,Livingston (County),Livingston,1187
Kentucky,Spencer (County),Spencer,1000
Kentucky,Hancock (County),Hancock,1107
Kentucky,Henderson (County),Henderson,1126
Kentucky,Crittenden (County),Crittenden,1064
Kentucky,Daviess (County),Daviess,1071
Kentucky,Hopkins (County),Hopkins,1136
Kentucky,Webster (County),Webster,1029
Georgia,Banks (County),Banks,992
Georgia,Barrow (County),Barrow,993
Georgia,Bartow (County),Bartow,994
Georgia,Butts (County),Butts,588
Georgia,Carroll (County),Carroll,620
Georgia,Catoosa (County),Catoosa,626
Georgia,Chattooga (County),Chattooga,659
Georgia,Cherokee (County),Cherokee,662
Georgia,Clarke (County),Clarke,666
Georgia,Cobb (County),Cobb,680
Georgia,Dawson (County),Dawson,713
Georgia,DeKalb (County),DeKalb,718
Georgia,Elbert (County),Elbert,746
Georgia,Fannin (County),Fannin,755
Georgia,Floyd (County),Floyd,764
Georgia,Forsyth (County),Forsyth,768
Georgia,Franklin (County),Franklin,772
Georgia,Fulton (County),Fulton,779
Georgia,Douglas (County),Douglas,731
Georgia,Gilmer (County),Gilmer,781
Georgia,Gordon (County),Gordon,796
Georgia,Greene (County),Greene,800
Georgia,Gwinnett (County),Gwinnett,804
Georgia,Habersham (County),Habersham,806
Georgia,Hall (County),Hall,808
Georgia,Haralson (County),Haralson,813
Georgia,Hart (County),Hart,816
Georgia,Henry (County),Henry,820
Georgia,Jackson (County),Jackson,828
Georgia,Jasper (County),Jasper,830
Georgia,Jones (County),Jones,839
Georgia,Lamar (County),Lamar,841
Georgia,Lumpkin (County),Lumpkin,865
Georgia,Monroe (County),Monroe,885
Georgia,Newton (County),Newton,899
Georgia,Oconee (County),Oconee,901
Georgia,Oglethorpe (County),Oglethorpe,905
Georgia,Paulding (County),Paulding,908
Georgia,Pickens (County),Pickens,912
Georgia,Pike (County),Pike,7
Georgia,Rabun (County),Rabun,18
Georgia,Rockdale (County),Rockdale,28
Georgia,Spalding (County),Spalding,41
Georgia,Stephens (County),Stephens,45
Georgia,Taliaferro (County),Taliaferro,60
Georgia,Union (County),Union,120
Georgia,Walker (County),Walker,126
Georgia,Upson (County),Upson,123
Georgia,Walton (County),Walton,127
Georgia,White (County),White,157
Georgia,Wilkes (County),Wilkes,167
North Carolina,Alamance (County),Alamance,1967
North Carolina,Cabarrus (County),Cabarrus,1426
North Carolina,Caswell (County),Caswell,1449
North Carolina,Chatham (County),Chatham,1451
